index,state1,state2,length
1,Montreal Canadiens,Boston Bruins,24
2,Toronto Maple Leafs,Detroit Red Wings,12
3,Montreal Canadiens,Chicago Blackhawks,12
4,Chicago Blackhawks,Detroit Red Wings,9
5,New York Rangers,Montreal Canadiens,8
6,Montreal Canadiens,Toronto Maple Leafs,8
7,Toronto Maple Leafs,Boston Bruins,8
8,St. Louis Blues,Dallas Stars,6
9,Detroit Red Wings,Montreal Canadiens,7
10,Chicago Blackhawks,St. Louis Blues,8
11,Philadelphia Flyers,New York Rangers,6
12,Boston Bruins,New York Rangers,7
13,Philadelphia Flyers,Buffalo Sabres,6
14,Toronto Maple Leafs,Chicago Blackhawks,6
15,New York Rangers,Washington Capitals,5
16,Boston Bruins,Buffalo Sabres,6
17,Detroit Red Wings,Boston Bruins,4
18,Dallas Stars,Edmonton Oilers,6
19,New York Islanders,New York Rangers,5
20,New York Rangers,Toronto Maple Leafs,5
21,Pittsburgh Penguins,Washington Capitals,7
22,Boston Bruins,Chicago Blackhawks,5
23,Montreal Canadiens,Buffalo Sabres,4
24,Calgary Flames,Vancouver Canucks,5
25,Montreal Canadiens,Carolina Hurricanes,5
26,Detroit Red Wings,St. Louis Blues,5
27,Edmonton Oilers,Los Angeles Kings,5
28,New York Islanders,Washington Capitals,5
29,Detroit Red Wings,Anaheim Ducks,4
30,Edmonton Oilers,Arizona Coyotes,6
31,Philadelphia Flyers,Boston Bruins,3
32,Los Angeles Kings,Calgary Flames,4
33,Chicago Blackhawks,Dallas Stars,4
34,Detroit Red Wings,Colorado Avalanche,3
35,Philadelphia Flyers,Montreal Canadiens,3
36,New York Rangers,New Jersey Devils,4
37,Philadelphia Flyers,New Jersey Devils,3
38,Pittsburgh Penguins,New York Rangers,4
39,Philadelphia Flyers,Pittsburgh Penguins,4
40,Philadelphia Flyers,Toronto Maple Leafs,5
41,Boston Bruins,Pittsburgh Penguins,3
42,Edmonton Oilers,Calgary Flames,4
43,Chicago Blackhawks,New York Rangers,4
44,Chicago Blackhawks,Vancouver Canucks,3
45,Montreal Canadiens,Colorado Avalanche,4
46,Detroit Red Wings,New York Rangers,4
47,San Jose Sharks,Detroit Red Wings,3
48,Los Angeles Kings,Vancouver Canucks,4
49,Pittsburgh Penguins,New Jersey Devils,3
50,St. Louis Blues,Toronto Maple Leafs,3
51,Detroit Red Wings,Arizona Coyotes,4
52,Boston Bruins,Carolina Hurricanes,3
53,New Jersey Devils,Boston Bruins,3
54,New York Islanders,Buffalo Sabres,3
55,Buffalo Sabres,Ottawa Senators,3
56,Chicago Blackhawks,Calgary Flames,2
57,Carolina Hurricanes,New Jersey Devils,3
58,Edmonton Oilers,Chicago Blackhawks,3
59,Dallas Stars,Colorado Avalanche,2
60,San Jose Sharks,Colorado Avalanche,2
61,Detroit Red Wings,Dallas Stars,4
62,St. Louis Blues,Los Angeles Kings,2
63,Montreal Canadiens,New York Islanders,3
64,Philadelphia Flyers,New York Islanders,3
65,New York Islanders,Pittsburgh Penguins,3
66,Pittsburgh Penguins,Ottawa Senators,3
67,Toronto Maple Leafs,Ottawa Senators,4
68,Washington Capitals,Philadelphia Flyers,2
69,St. Louis Blues,San Jose Sharks,2
70,Anaheim Ducks,Dallas Stars,2
71,Arizona Coyotes,Calgary Flames,2
72,Washington Capitals,Boston Bruins,2
73,Dallas Stars,Buffalo Sabres,2
74,Detroit Red Wings,Calgary Flames,2
75,San Jose Sharks,Calgary Flames,2
76,Chicago Blackhawks,Los Angeles Kings,2
77,Chicago Blackhawks,Minnesota Wild,3
78,Minnesota Wild,Colorado Avalanche,2
79,Dallas Stars,San Jose Sharks,3
80,Edmonton Oilers,Detroit Red Wings,3
81,Detroit Red Wings,Nashville Predators,2
82,New York Islanders,Edmonton Oilers,2
83,Edmonton Oilers,Philadelphia Flyers,2
84,New York Rangers,Los Angeles Kings,2
85,Los Angeles Kings,San Jose Sharks,2
86,Toronto Maple Leafs,Los Angeles Kings,2
